Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-02-14,2019,2,14,Thursday,06,2019-06,46.70000076293945,46.959999084472656,45.5,45.59000015258789,58905400,37.845184326171875,-0.08435442058482368,40.355703353881836,39.75231650567824
2019-02-15,2019,2,15,Friday,06,2019-06,45.900001525878906,46.2599983215332,45.20000076293945,45.2400016784668,35701600,37.55464172363281,-0.007677135353206244,40.24126516069685,39.68363916873932
2019-02-19,2019,2,19,Tuesday,07,2019-07,45.31999969482422,45.59000015258789,44.77000045776367,44.83000183105469,25511300,37.214290618896484,-0.009062823904458894,40.0888786315918,39.60881042480469
2019-02-20,2019,2,20,Wednesday,07,2019-07,44.90999984741211,45.2400016784668,44.79999923706055,45.099998474121094,27464000,37.438411712646484,0.006022447022977717,39.925225666591096,39.54497516856474
2019-02-21,2019,2,21,Thursday,07,2019-07,45.0,45.90999984741211,44.959999084472656,45.86000061035156,23121200,38.069313049316406,0.016851712126901175,39.79062707083566,39.50281339372907
2019-02-22,2019,2,22,Friday,07,2019-07,45.7599983215332,45.95000076293945,45.20000076293945,45.279998779296875,24728400,37.58784866333008,-0.01264704685799345,39.58784048897879,39.449619928995766
2019-02-25,2019,2,25,Monday,08,2019-08,45.439998626708984,45.56999969482422,44.84000015258789,44.939998626708984,23774400,37.305606842041016,-0.007508858083820402,39.332282475062776,39.39167362934834
2019-02-26,2019,2,26,Tuesday,08,2019-08,45.099998474121094,45.13999938964844,44.65999984741211,44.689998626708984,20463200,37.09807205200195,-0.005563099158735096,39.06130790710449,39.33131569310238
2019-02-27,2019,2,27,Wednesday,08,2019-08,44.599998474121094,45.02000045776367,44.41999816894531,44.939998626708984,17827500,37.305606842041016,0.005594220361321067,38.80515725272043,39.27937444051107
2019-02-28,2019,2,28,Thursday,08,2019-08,45.119998931884766,45.61000061035156,45.11000061035156,45.34000015258789,22533900,37.63764953613281,0.008900610985842716,38.56323678152902,39.23833131790161
2019-03-01,2019,3,1,Friday,08,2019-08,45.470001220703125,45.63999938964844,45.20000076293945,45.380001068115234,16291600,37.67085647583008,0.0008822798476133542,38.318944113595144,39.200100224192546
2019-03-04,2019,3,4,Monday,09,2019-09,45.529998779296875,45.66999816894531,45.29999923706055,45.650001525878906,15973800,37.894989013671875,0.005949759543842692,38.0841383252825,39.16902614775158
2019-03-05,2019,3,5,Tuesday,09,2019-09,45.650001525878906,45.70000076293945,45.400001525878906,45.599998474121094,13062300,37.85348129272461,-0.0010953353471692129,37.84340340750558,39.1384320813556
2019-03-06,2019,3,6,Wednesday,09,2019-09,45.66999816894531,45.790000915527344,45.439998626708984,45.45000076293945,14232100,37.72896957397461,-0.0032893069408105324,37.586065837315154,39.10639884255149
2019-03-07,2019,3,7,Thursday,09,2019-09,45.4900016784668,45.529998779296875,45.130001068115234,45.279998779296875,12084000,37.58784866333008,-0.0037403860279787704,37.56768471854074,39.07265328301324
2019-03-08,2019,3,8,Friday,09,2019-09,45.150001525878906,45.25,44.61000061035156,44.84000015258789,15579100,37.22260284423828,-0.009717124870945892,37.54396765572684,39.03243479521378
2019-03-11,2019,3,11,Monday,10,2019-10,45.13999938964844,46.2400016784668,45.099998474121094,46.18000030517578,22126900,38.33495330810547,0.029883736731736166,37.62401499067034,39.01759476357318
2019-03-12,2019,3,12,Tuesday,10,2019-10,45.95000076293945,46.25,45.900001525878906,46.04999923706055,19348500,38.22703170776367,-0.0028152271237794624,37.680344990321565,39.001124699910484
2019-03-13,2019,3,13,Wednesday,10,2019-10,46.130001068115234,46.34000015258789,45.90999984741211,46.220001220703125,16222500,38.3681526184082,0.0036916523292565007,37.701690673828125,38.988206902328805
2019-03-14,2019,3,14,Thursday,10,2019-10,45.84000015258789,46.11000061035156,45.630001068115234,45.70000076293945,18504100,38.267669677734375,-0.002618915267388111,37.75024931771414,38.973796157836915
2019-03-15,2019,3,15,Friday,10,2019-10,45.720001220703125,45.900001525878906,45.13999938964844,45.29999923706055,47254500,37.932735443115234,-0.008752407383040062,37.795044217790874,38.9532999420166
2019-03-18,2019,3,18,Monday,11,2019-11,45.43000030517578,45.68000030517578,45.36000061035156,45.40999984741211,24006400,38.02484130859375,0.0024281366582865616,37.86124202183315,38.939460601806644
2019-03-19,2019,3,19,Tuesday,11,2019-11,45.54999923706055,45.689998626708984,45.34000015258789,45.560001373291016,14987000,38.15044403076172,0.0033031754465095986,37.9215875353132,38.91269302368164
2019-03-20,2019,3,20,Wednesday,11,2019-11,45.400001525878906,45.900001525878906,45.18000030517578,45.529998779296875,13376100,38.12532043457031,-0.0006585400728533752,37.956421170915874,38.89571640014648
2019-03-21,2019,3,21,Thursday,11,2019-11,45.529998779296875,45.7599983215332,45.439998626708984,45.5099983215332,20043000,38.108577728271484,-0.00043914926112065267,37.98768697466169,38.86960586547852
2019-03-22,2019,3,22,Friday,11,2019-11,45.459999084472656,46.11000061035156,45.459999084472656,45.93000030517578,19055900,38.460269927978516,0.009228688675151586,38.02806418282645,38.86563720703125
2019-03-25,2019,3,25,Monday,12,2019-12,45.86000061035156,46.20000076293945,45.790000915527344,46.029998779296875,11668200,38.54400634765625,0.0021772187203714655,38.07738740103586,38.85504211425781
2019-03-26,2019,3,26,Tuesday,12,2019-12,46.16999816894531,46.790000915527344,46.16999816894531,46.63999938964844,11434900,39.05479431152344,0.013252072430147033,38.17208916800363,38.85018020629883
2019-03-27,2019,3,27,Wednesday,12,2019-12,46.650001525878906,46.90999984741211,46.33000183105469,46.61000061035156,11543600,39.02967834472656,-0.0006430956106575625,38.27507700238909,38.847970504760745
2019-03-28,2019,3,28,Thursday,12,2019-12,46.68000030517578,46.91999816894531,46.47999954223633,46.58000183105469,11121100,39.004554748535156,-0.0006437049255058058,38.40235928126744,38.83828514099121
2019-03-29,2019,3,29,Friday,12,2019-12,46.66999816894531,46.90999984741211,46.47999954223633,46.86000061035156,16045600,39.239017486572266,0.006011163043616374,38.466935294015066,38.84408073425293
2019-04-01,2019,4,1,Monday,13,2019-13,46.9900016784668,47.16999816894531,46.59000015258789,46.720001220703125,11522700,39.121788024902344,-0.0029875738277606034,38.53084645952497,38.84520744323731
