Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-01-02,2019,1,2,Wednesday,00,2019-00,38.72249984741211,39.712501525878906,38.557498931884766,39.47999954223633,148158800,37.708595275878906,0.0,37.708595275878906,37.708595275878906
2019-01-03,2019,1,3,Thursday,00,2019-00,35.994998931884766,36.43000030517578,35.5,35.54750061035156,365248800,33.95254898071289,-0.09960716562594019,35.8305721282959,35.8305721282959
2019-01-04,2019,1,4,Friday,00,2019-00,36.13249969482422,37.13750076293945,35.95000076293945,37.064998626708984,234428400,35.40195846557617,0.04268926865216027,35.68770090738932,35.68770090738932
2019-01-07,2019,1,7,Monday,01,2019-01,37.17499923706055,37.20750045776367,36.474998474121094,36.98249816894531,219111200,35.32316207885742,-0.002225763492586741,35.59656620025635,35.59656620025635
2019-01-08,2019,1,8,Tuesday,01,2019-01,37.38999938964844,37.95500183105469,37.130001068115234,37.6875,164101200,35.99652862548828,0.01906303136530063,35.67655868530274,35.67655868530274
2019-01-09,2019,1,9,Wednesday,01,2019-01,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,180396400,36.60780334472656,0.016981490787571385,35.83176612854004,35.83176612854004
2019-01-10,2019,1,10,Thursday,01,2019-01,38.125,38.49250030517578,37.71500015258789,38.45000076293945,143122800,36.72481918334961,0.0031964725531641314,35.959345136369976,35.959345136369976
2019-01-11,2019,1,11,Friday,01,2019-01,38.220001220703125,38.42499923706055,37.877498626708984,38.0724983215332,108092800,36.36425018310547,-0.009818128673254711,36.009958267211914,36.009958267211914
2019-01-14,2019,1,14,Monday,02,2019-02,37.712501525878906,37.817501068115234,37.30500030517578,37.5,129756800,35.81742858886719,-0.01503734001072099,35.988566080729164,35.988566080729164
2019-01-15,2019,1,15,Tuesday,02,2019-02,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,114843600,36.55050277709961,0.020466968655038498,36.04475975036621,36.04475975036621
2019-01-16,2019,1,16,Wednesday,02,2019-02,38.27000045776367,38.970001220703125,38.25,38.73500061035156,122278800,36.99702453613281,0.012216569543688216,36.13132927634499,36.13132927634499
2019-01-17,2019,1,17,Thursday,02,2019-02,38.54999923706055,39.415000915527344,38.314998626708984,38.96500015258789,119284800,37.216705322265625,0.005937796049470423,36.221777280171715,36.221777280171715
2019-01-18,2019,1,18,Friday,02,2019-02,39.375,39.470001220703125,38.994998931884766,39.20500183105469,135004000,37.44594192504883,0.006159508231537547,36.31594379131611,36.31594379131611
2019-01-22,2019,1,22,Tuesday,03,2019-03,39.102500915527344,39.182498931884766,38.154998779296875,38.32500076293945,121576000,36.60542297363281,-0.022446195988296558,36.3366208757673,36.3366208757673
2019-01-23,2019,1,23,Wednesday,03,2019-03,38.537498474121094,38.78499984741211,37.92499923706055,38.47999954223633,92522400,36.75345993041992,0.00404412638241447,36.26839692252023,36.364410146077475
2019-01-24,2019,1,24,Thursday,03,2019-03,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,101766000,36.46213912963867,-0.007926350371713742,36.447653361729216,36.37051820755005
2019-01-25,2019,1,25,Friday,03,2019-03,38.869998931884766,39.532501220703125,38.58000183105469,39.439998626708984,134142000,37.670387268066406,0.03313706127147098,36.609683990478516,36.446981093462774
2019-01-28,2019,1,28,Monday,04,2019-04,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,104768400,37.32176208496094,-0.009254621690629738,36.752441133771626,36.4955800374349
2019-01-29,2019,1,29,Tuesday,04,2019-04,39.0625,39.532501220703125,38.52750015258789,38.66999816894531,166348800,36.93494415283203,-0.010364406997942277,36.819470814296174,36.51870446456106
2019-01-30,2019,1,30,Wednesday,04,2019-04,40.8125,41.537498474121094,40.057498931884766,41.3125,244439200,39.45888900756836,0.0683348767035512,37.02311979021345,36.665713691711424
2019-01-31,2019,1,31,Thursday,04,2019-04,41.52750015258789,42.25,41.13999938964844,41.61000061035156,162958400,39.743019104003906,0.007200661335929892,37.238705498831614,36.812252044677734
2019-02-01,2019,2,1,Friday,04,2019-04,41.7400016784668,42.244998931884766,41.48249816894531,41.630001068115234,130672400,39.76213455200195,0.00048097624259546556,37.481411525181365,36.94633761319247
2019-02-04,2019,2,4,Monday,05,2019-05,41.852500915527344,42.915000915527344,41.81999969482422,42.8125,125982000,40.89155960083008,0.02840453767267026,37.84384945460728,37.11786900395932
2019-02-05,2019,2,5,Tuesday,05,2019-05,43.21500015258789,43.77000045776367,43.087501525878906,43.54499816894531,144406400,41.591209411621094,0.017109883252699687,38.20389992850168,37.3042581876119
2019-02-06,2019,2,6,Wednesday,05,2019-05,43.662498474121094,43.89250183105469,43.212501525878906,43.560001373291016,112958400,41.60554122924805,0.0003445876623859867,38.53307969229562,37.47630950927734
2019-02-07,2019,2,7,Thursday,05,2019-05,43.099998474121094,43.48500061035156,42.584999084472656,42.73500061035156,126966800,40.81755065917969,-0.018939558212366592,38.790282930646626,37.60481878427359
2019-02-08,2019,2,8,Friday,05,2019-05,42.247501373291016,42.665000915527344,42.10499954223633,42.602500915527344,95280000,40.86551284790039,0.0011750383829050026,39.034537996564595,37.72558523107458
2019-02-11,2019,2,11,Monday,06,2019-06,42.76250076293945,42.8025016784668,42.3125,42.35749816894531,83973600,40.630496978759766,-0.005750958516422933,39.32204328264509,37.829332079206196
2019-02-12,2019,2,12,Tuesday,06,2019-06,42.525001525878906,42.75,42.42499923706055,42.72249984741211,89134000,40.980621337890625,0.008617279756973906,39.62398338317871,37.937997226057384
2019-02-13,2019,2,13,Wednesday,06,2019-06,42.84749984741211,43.119998931884766,42.47999954223633,42.54499816894531,89960800,40.81035232543945,-0.00415486654160957,39.934570040021626,38.033742396036786
2019-02-14,2019,2,14,Thursday,06,2019-06,42.4275016784668,42.814998626708984,42.345001220703125,42.70000076293945,87342800,40.95903778076172,0.003643326921967782,40.16947364807129,38.12810676328598
2019-02-15,2019,2,15,Friday,06,2019-06,42.8125,42.92499923706055,42.4375,42.60499954223633,98507200,40.867916107177734,-0.0022247024959844985,40.42277036394392,38.21372580528259
2019-02-19,2019,2,19,Tuesday,07,2019-07,42.4275016784668,42.86000061035156,42.372501373291016,42.73249816894531,75891200,40.990203857421875,0.002992267820151051,40.71243177141462,38.297861503832266
2019-02-20,2019,2,20,Wednesday,07,2019-07,42.79750061035156,43.33000183105469,42.747501373291016,43.00749969482422,104457600,41.25400161743164,0.0064356293744560755,40.84065410069057,38.38480680129107
2019-02-21,2019,2,21,Thursday,07,2019-07,42.95000076293945,43.092498779296875,42.57500076293945,42.76499938964844,68998800,41.02138900756836,-0.005638546583199622,40.931966236659456,38.460137721470424
2019-02-22,2019,2,22,Friday,07,2019-07,42.89500045776367,43.25,42.845001220703125,43.24250030517578,75652800,41.47941970825195,0.011165655570538835,41.054629462105886,38.54400666554769
2019-02-25,2019,2,25,Monday,08,2019-08,43.540000915527344,43.967498779296875,43.48749923706055,43.557498931884766,87493600,41.78156661987305,0.007284260815273225,41.11820139203753,38.63150828593486
2019-02-26,2019,2,26,Tuesday,08,2019-08,43.4275016784668,43.82500076293945,43.29249954223633,43.58250045776367,68280800,41.80555725097656,0.0005741917559429766,41.13351195199149,38.71503589027807
2019-02-27,2019,2,27,Wednesday,08,2019-08,43.3025016784668,43.75,43.182498931884766,43.717498779296875,111341600,41.935054779052734,0.0030976151639061644,41.15704863412039,38.79760047716972
2019-02-28,2019,2,28,Thursday,08,2019-08,43.58000183105469,43.727500915527344,43.22999954223633,43.287498474121094,112861600,41.5225830078125,-0.009835965957680659,41.20740808759417,38.86572504043579
2019-03-01,2019,3,1,Friday,08,2019-08,43.56999969482422,43.787498474121094,43.22249984741211,43.74250030517578,103544800,41.95902633666992,0.010510986967629199,41.285516193934846,38.941171413514674
2019-03-04,2019,3,4,Monday,09,2019-09,43.92250061035156,44.4375,43.49250030517578,43.962501525878906,109744800,42.17006301879883,0.005029589591416972,41.39548519679478,39.01804978506906
2019-03-05,2019,3,5,Tuesday,09,2019-09,43.98500061035156,44.0,43.6349983215332,43.88249969482422,78949600,42.09332275390625,-0.001819780654782721,41.47496386936733,39.089567761088524
2019-03-06,2019,3,6,Wednesday,09,2019-09,43.66749954223633,43.872501373291016,43.48500061035156,43.630001068115234,83241600,41.85111999511719,-0.005753947252039815,41.54930441720145,39.1523303118619
2019-03-07,2019,3,7,Thursday,09,2019-09,43.467498779296875,43.61000061035156,43.005001068115234,43.125,99185600,41.366703033447266,-0.01157476697699944,41.57842336382185,39.2015385945638
2019-03-08,2019,3,8,Friday,09,2019-09,42.58000183105469,43.26750183105469,42.375,43.227500915527344,95997600,41.46502685546875,0.002376883213099701,41.62107413155692,39.25074486110521
2019-03-11,2019,3,11,Monday,10,2019-10,43.872501373291016,44.779998779296875,43.837501525878906,44.724998474121094,128044000,42.90147018432617,0.034642286229894736,41.75759315490723,39.328419867982255
2019-03-12,2019,3,12,Tuesday,10,2019-10,45.0,45.66749954223633,44.842498779296875,45.227500915527344,129870400,43.383487701416016,0.011235454519830101,41.909699303763254,39.41290044784546
2019-03-13,2019,3,13,Wednesday,10,2019-10,45.5625,45.82500076293945,45.22999954223633,45.4275016784668,124130000,43.57533264160156,0.004422072782757969,42.09212384905134,39.4978480436364
2019-03-14,2019,3,14,Thursday,10,2019-10,45.974998474121094,46.025001525878906,45.63999938964844,45.932498931884766,94318000,44.05974197387695,0.011116595167719234,42.27643258231027,39.58908592224121
2019-03-15,2019,3,15,Friday,10,2019-10,46.212501525878906,46.83250045776367,45.935001373291016,46.529998779296875,156171600,44.632869720458984,0.013007968746658438,42.480097089494976,39.727571411132814
2019-03-18,2019,3,18,Monday,11,2019-11,46.45000076293945,47.09749984741211,46.4474983215332,47.005001068115234,104879200,45.08852005004883,0.010208851289277066,42.71459443228586,39.95029083251953
2019-03-19,2019,3,19,Tuesday,11,2019-11,47.087501525878906,47.247501373291016,46.47999954223633,46.63249969482422,126585600,44.731204986572266,-0.007924745879437589,42.914319447108674,40.136875762939454
2019-03-20,2019,3,20,Wednesday,11,2019-11,46.557498931884766,47.372501373291016,46.182498931884766,47.040000915527344,124140800,45.12208557128906,0.008738431813632985,43.17142677307129,40.33285423278809
2019-03-21,2019,3,21,Thursday,11,2019-11,47.505001068115234,49.08250045776367,47.45249938964844,48.772499084472656,204136800,46.783939361572266,0.03683016352729562,43.51606341770717,40.548602447509765
2019-03-22,2019,3,22,Friday,11,2019-11,48.834999084472656,49.42250061035156,47.69499969482422,47.76250076293945,169630800,45.81513214111328,-0.020708115513135894,43.77642549787249,40.7327490234375
2019-03-25,2019,3,25,Monday,12,2019-12,47.877498626708984,47.994998931884766,46.650001525878906,47.185001373291016,175381200,45.26118087768555,-0.012091010928911738,44.00270107814244,40.90347625732422
2019-03-26,2019,3,26,Tuesday,12,2019-12,47.915000915527344,48.220001220703125,46.14500045776367,46.6974983215332,199202000,44.79355239868164,-0.010331778136050684,44.21287482125418,41.07206230163574
2019-03-27,2019,3,27,Wednesday,12,2019-12,47.1875,47.439998626708984,46.63750076293945,47.11750030517578,119393600,45.1964225769043,0.008993932310546349,44.4864262172154,41.25964218139649
